StrategyID,Strategy,StrategyComplexity,MatchedBaseStrategyID,AcceptanceRule,RequireModelAgreement,UseViewSD,UseKNN,SelectedK,ConfidenceThreshold,ViewSDThreshold,KNNPercentileThreshold,ViewSDGateActive,KNNGateActive,TotalCount,AcceptedCount,DeferredCount,Coverage,CoveragePercent,ReviewRate,ReviewRatePercent,AcceptedErrors,AcceptedErrorRate,AcceptedAccuracy,AcceptedSensitivity,AcceptedSpecificity,AcceptedBalancedAccuracy,AcceptedTruePositives,AcceptedTrueNegatives,AcceptedFalsePositives,AcceptedFalseNegatives,FalseNegativesAmongAccepted,DataScope,TestStatus,TargetCoveragePercent,TargetAcceptedCount,CoverageDeviationPercentagePoints,MatchedBaseAcceptedErrors,MatchedBaseFalseNegatives,ErrorDifferenceVsMatchedBase,FalseNegativeDifferenceVsMatchedBase,StrictImprovementAtMatchedAcceptedCount,BaseMaxCoverageAtSameErrorConstraint,KNNMaxCoverageAtSameErrorConstraint,StrictHigherCoverageAtSameErrorConstraint,AnyStrictKNNImprovement
c,C,1,,PrimaryConfidenceMargin >= ConfidenceThreshold,False,False,False,10,1.13739060061254,,,False,False,120,96,24,0.80000000000000004,80,0.20000000000000001,20,4,0.041666666666666664,0.95833333333333337,0.95774647887323938,0.95999999999999996,0.95887323943661973,68,24,1,3,3,TRAIN + VALIDATION ONLY,TEST SET NOT LOADED OR EVALUATED,80,96,0,,,,,False,,,False,False
c_agreement,C + Agreement,2,,PrimaryConfidenceMargin >= ConfidenceThreshold AND ModelAgreement == True,True,False,False,10,0.83179976063869354,,,False,False,120,96,24,0.80000000000000004,80,0.20000000000000001,20,2,0.020833333333333332,0.97916666666666663,0.9859154929577465,0.95999999999999996,0.97295774647887323,70,24,1,1,1,TRAIN + VALIDATION ONLY,TEST SET NOT LOADED OR EVALUATED,80,96,0,,,,,False,,,False,False
c_view_sd,C + ViewSD,2,,PrimaryConfidenceMargin >= ConfidenceThreshold AND Day3StdViewProbability <= ViewSDThreshold,False,True,False,10,0.0021789637962887909,0.28696844019511142,,True,False,120,96,24,0.80000000000000004,80,0.20000000000000001,20,4,0.041666666666666664,0.95833333333333337,0.95588235294117652,0.9642857142857143,0.96008403361344541,65,27,1,3,3,TRAIN + VALIDATION ONLY,TEST SET NOT LOADED OR EVALUATED,80,96,0,,,,,False,,,False,False
c_agreement_view_sd,C + Agreement + ViewSD,3,,PrimaryConfidenceMargin >= ConfidenceThreshold AND ModelAgreement == True AND Day3StdViewProbability <= ViewSDThreshold,True,True,False,10,0.83179976063869354,0.42641146551730086,,False,False,120,96,24,0.80000000000000004,80,0.20000000000000001,20,2,0.020833333333333332,0.97916666666666663,0.9859154929577465,0.95999999999999996,0.97295774647887323,70,24,1,1,1,TRAIN + VALIDATION ONLY,TEST SET NOT LOADED OR EVALUATED,80,96,0,,,,,False,,,False,False
c_knn,C + KNN,2,c,PrimaryConfidenceMargin >= ConfidenceThreshold AND SelectedKNNReferencePercentile <= KNNPercentileThreshold,False,False,True,10,1.13739060061254,,100,False,False,120,96,24,0.80000000000000004,80,0.20000000000000001,20,4,0.041666666666666664,0.95833333333333337,0.95774647887323938,0.95999999999999996,0.95887323943661973,68,24,1,3,3,TRAIN + VALIDATION ONLY,TEST SET NOT LOADED OR EVALUATED,80,96,0,4,3,0,0,False,0.82499999999999996,0.82499999999999996,False,False
c_agreement_knn,C + Agreement + KNN,3,c_agreement,PrimaryConfidenceMargin >= ConfidenceThreshold AND ModelAgreement == True AND SelectedKNNReferencePercentile <= KNNPercentileThreshold,True,False,True,10,0.83179976063869354,,100,False,False,120,96,24,0.80000000000000004,80,0.20000000000000001,20,2,0.020833333333333332,0.97916666666666663,0.9859154929577465,0.95999999999999996,0.97295774647887323,70,24,1,1,1,TRAIN + VALIDATION ONLY,TEST SET NOT LOADED OR EVALUATED,80,96,0,2,1,0,0,False,0.80000000000000004,0.80000000000000004,False,False
c_view_sd_knn,C + ViewSD + KNN,3,c_view_sd,PrimaryConfidenceMargin >= ConfidenceThreshold AND Day3StdViewProbability <= ViewSDThreshold AND SelectedKNNReferencePercentile <= KNNPercentileThreshold,False,True,True,10,0.0021789637962887909,0.28696844019511142,100,True,False,120,96,24,0.80000000000000004,80,0.20000000000000001,20,4,0.041666666666666664,0.95833333333333337,0.95588235294117652,0.9642857142857143,0.96008403361344541,65,27,1,3,3,TRAIN + VALIDATION ONLY,TEST SET NOT LOADED OR EVALUATED,80,96,0,4,3,0,0,False,0.82499999999999996,0.82499999999999996,False,False
c_agreement_view_sd_knn,C + Agreement + ViewSD + KNN,4,c_agreement_view_sd,PrimaryConfidenceMargin >= ConfidenceThreshold AND ModelAgreement == True AND Day3StdViewProbability <= ViewSDThreshold AND SelectedKNNReferencePercentile <= KNNPercentileThreshold,True,True,True,10,0.83179976063869354,0.42641146551730086,100,False,False,120,96,24,0.80000000000000004,80,0.20000000000000001,20,2,0.020833333333333332,0.97916666666666663,0.9859154929577465,0.95999999999999996,0.97295774647887323,70,24,1,1,1,TRAIN + VALIDATION ONLY,TEST SET NOT LOADED OR EVALUATED,80,96,0,2,1,0,0,False,0.80000000000000004,0.80000000000000004,False,False
c,C,1,,PrimaryConfidenceMargin >= ConfidenceThreshold,False,False,False,10,0.5123573658874756,,,False,False,120,108,12,0.90000000000000002,90,0.10000000000000001,10,8,0.07407407407407407,0.92592592592592593,0.93827160493827155,0.88888888888888884,0.9135802469135802,76,24,3,5,5,TRAIN + VALIDATION ONLY,TEST SET NOT LOADED OR EVALUATED,90,108,0,,,,,False,,,False,False
c_agreement,C + Agreement,2,,PrimaryConfidenceMargin >= ConfidenceThreshold AND ModelAgreement == True,True,False,False,10,0.22019142937855252,,,False,False,120,108,12,0.90000000000000002,90,0.10000000000000001,10,6,0.055555555555555552,0.94444444444444442,0.94999999999999996,0.9285714285714286,0.93928571428571428,76,26,2,4,4,TRAIN + VALIDATION ONLY,TEST SET NOT LOADED OR EVALUATED,90,108,0,,,,,False,,,False,False
c_view_sd,C + ViewSD,2,,PrimaryConfidenceMargin >= ConfidenceThreshold AND Day3StdViewProbability <= ViewSDThreshold,False,True,False,10,0.24169623520724892,0.3519833473606262,,True,False,120,108,12,0.90000000000000002,90,0.10000000000000001,10,8,0.07407407407407407,0.92592592592592593,0.93670886075949367,0.89655172413793105,0.91663029244871241,74,26,3,5,5,TRAIN + VALIDATION ONLY,TEST SET NOT LOADED OR EVALUATED,90,108,0,,,,,False,,,False,False
c_agreement_view_sd,C + Agreement + ViewSD,3,,PrimaryConfidenceMargin >= ConfidenceThreshold AND ModelAgreement == True AND Day3StdViewProbability <= ViewSDThreshold,True,True,False,10,0.0021831670001128956,0.36718017390311741,,True,False,120,108,12,0.90000000000000002,90,0.10000000000000001,10,6,0.055555555555555552,0.94444444444444442,0.94871794871794868,0.93333333333333335,0.94102564102564101,74,28,2,4,4,TRAIN + VALIDATION ONLY,TEST SET NOT LOADED OR EVALUATED,90,108,0,,,,,False,,,False,False
c_knn,C + KNN,2,c,PrimaryConfidenceMargin >= ConfidenceThreshold AND SelectedKNNReferencePercentile <= KNNPercentileThreshold,False,False,True,10,0.5123573658874756,,100,False,False,120,108,12,0.90000000000000002,90,0.10000000000000001,10,8,0.07407407407407407,0.92592592592592593,0.93827160493827155,0.88888888888888884,0.9135802469135802,76,24,3,5,5,TRAIN + VALIDATION ONLY,TEST SET NOT LOADED OR EVALUATED,90,108,0,8,5,0,0,False,0.90833333333333333,0.90833333333333333,False,False
c_agreement_knn,C + Agreement + KNN,3,c_agreement,PrimaryConfidenceMargin >= ConfidenceThreshold AND ModelAgreement == True AND SelectedKNNReferencePercentile <= KNNPercentileThreshold,True,False,True,10,0.22019142937855252,,100,False,False,120,108,12,0.90000000000000002,90,0.10000000000000001,10,6,0.055555555555555552,0.94444444444444442,0.94999999999999996,0.9285714285714286,0.93928571428571428,76,26,2,4,4,TRAIN + VALIDATION ONLY,TEST SET NOT LOADED OR EVALUATED,90,108,0,6,4,0,0,False,0.93333333333333335,0.93333333333333335,False,False
c_view_sd_knn,C + ViewSD + KNN,3,c_view_sd,PrimaryConfidenceMargin >= ConfidenceThreshold AND Day3StdViewProbability <= ViewSDThreshold AND SelectedKNNReferencePercentile <= KNNPercentileThreshold,False,True,True,10,0.24169623520724892,0.3519833473606262,100,True,False,120,108,12,0.90000000000000002,90,0.10000000000000001,10,8,0.07407407407407407,0.92592592592592593,0.93670886075949367,0.89655172413793105,0.91663029244871241,74,26,3,5,5,TRAIN + VALIDATION ONLY,TEST SET NOT LOADED OR EVALUATED,90,108,0,8,5,0,0,False,0.93333333333333335,0.93333333333333335,False,False
c_agreement_view_sd_knn,C + Agreement + ViewSD + KNN,4,c_agreement_view_sd,PrimaryConfidenceMargin >= ConfidenceThreshold AND ModelAgreement == True AND Day3StdViewProbability <= ViewSDThreshold AND SelectedKNNReferencePercentile <= KNNPercentileThreshold,True,True,True,10,0.0021831670001128956,0.36718017390311741,100,True,False,120,108,12,0.90000000000000002,90,0.10000000000000001,10,6,0.055555555555555552,0.94444444444444442,0.94871794871794868,0.93333333333333335,0.94102564102564101,74,28,2,4,4,TRAIN + VALIDATION ONLY,TEST SET NOT LOADED OR EVALUATED,90,108,0,6,4,0,0,False,0.93333333333333335,0.93333333333333335,False,False
