StrategyID,Strategy,StrategyComplexity,RequestedStrategy,AcceptanceRule,RequireModelAgreement,UseViewSD,UseFeatureTypicality,ConfidenceThreshold,ViewSDThreshold,FeaturePercentileThreshold,ViewSDGateActive,FeatureGateActive,TotalCount,AcceptedCount,DeferredCount,Coverage,CoveragePercent,ReviewRate,ReviewRatePercent,AcceptedErrors,AcceptedErrorRate,AcceptedErrorPercent,AcceptedAccuracy,AcceptedSensitivity,AcceptedSpecificity,AcceptedBalancedAccuracy,FalseNegativesAmongAccepted,AcceptedTruePositives,AcceptedTrueNegatives,AcceptedFalsePositives,AcceptedFalseNegatives
confidence_view_sd,Confidence + view SD,2,True,PrimaryConfidenceMargin >= ConfidenceThreshold AND Day3StdViewProbability <= ViewSDThreshold,False,True,False,0.58934120281005065,0.31222281576648309,,True,False,120,91,29,0.7583333333333333,75.833333333333329,0.24166666666666667,24.166666666666668,2,0.02197802197802198,2.197802197802198,0.97802197802197799,0.97014925373134331,1,0.9850746268656716,2,65,24,0,2
confidence_view_sd,Confidence + view SD,2,True,PrimaryConfidenceMargin >= ConfidenceThreshold AND Day3StdViewProbability <= ViewSDThreshold,False,True,False,0.50927913018746063,0.31222281576648309,,True,False,120,94,26,0.78333333333333333,78.333333333333329,0.21666666666666667,21.666666666666668,3,0.031914893617021274,3.1914893617021276,0.96808510638297873,0.97101449275362317,0.95999999999999996,0.96550724637681151,2,67,24,1,2
confidence_view_sd,Confidence + view SD,2,True,PrimaryConfidenceMargin >= ConfidenceThreshold AND Day3StdViewProbability <= ViewSDThreshold,False,True,False,0.83179976063869354,0.42641146551730086,,False,False,120,99,21,0.82499999999999996,82.5,0.17499999999999999,17.5,4,0.040404040404040407,4.0404040404040407,0.95959595959595956,0.95945945945945943,0.95999999999999996,0.9597297297297297,3,71,24,1,3
confidence_view_sd,Confidence + view SD,2,True,PrimaryConfidenceMargin >= ConfidenceThreshold AND Day3StdViewProbability <= ViewSDThreshold,False,True,False,0.73695406291178678,0.42641146551730086,,False,False,120,102,18,0.84999999999999998,85,0.14999999999999999,15,5,0.049019607843137254,4.9019607843137258,0.9509803921568627,0.96052631578947367,0.92307692307692313,0.9418016194331984,3,73,24,2,3
confidence_view_sd,Confidence + view SD,2,True,PrimaryConfidenceMargin >= ConfidenceThreshold AND Day3StdViewProbability <= ViewSDThreshold,False,True,False,0.58934120281005065,0.42641146551730086,,False,False,120,105,15,0.875,87.5,0.125,12.5,6,0.057142857142857141,5.7142857142857144,0.94285714285714284,0.94936708860759489,0.92307692307692313,0.93622200584225901,4,75,24,2,4
confidence_view_sd,Confidence + view SD,2,True,PrimaryConfidenceMargin >= ConfidenceThreshold AND Day3StdViewProbability <= ViewSDThreshold,False,True,False,0.50927913018746063,0.40762878674145997,,True,False,120,107,13,0.89166666666666672,89.166666666666671,0.10833333333333334,10.833333333333334,7,0.065420560747663545,6.5420560747663554,0.93457943925233644,0.94999999999999996,0.88888888888888884,0.9194444444444444,4,76,24,3,4
confidence_view_sd,Confidence + view SD,2,True,PrimaryConfidenceMargin >= ConfidenceThreshold AND Day3StdViewProbability <= ViewSDThreshold,False,True,False,0.24169623520724892,0.40762878674145997,,True,False,120,112,8,0.93333333333333335,93.333333333333329,0.066666666666666666,6.666666666666667,8,0.071428571428571425,7.1428571428571432,0.9285714285714286,0.93975903614457834,0.89655172413793105,0.91815538014125475,5,78,26,3,5
confidence_view_sd,Confidence + view SD,2,True,PrimaryConfidenceMargin >= ConfidenceThreshold AND Day3StdViewProbability <= ViewSDThreshold,False,True,False,0.0021789637962887909,0.40762878674145997,,True,False,120,118,2,0.98333333333333328,98.333333333333329,0.016666666666666666,1.6666666666666667,9,0.076271186440677971,7.6271186440677967,0.92372881355932202,0.93023255813953487,0.90625,0.91824127906976738,6,80,29,3,6
confidence_view_sd,Confidence + view SD,2,True,PrimaryConfidenceMargin >= ConfidenceThreshold AND Day3StdViewProbability <= ViewSDThreshold,False,True,False,0.0021789637962887909,0.42641146551730086,,False,False,120,120,0,1,100,0,0,10,0.083333333333333329,8.3333333333333339,0.91666666666666663,0.92045454545454541,0.90625,0.91335227272727271,7,81,29,3,7
full_reliability,Confidence + agreement + view SD + feature typicality,4,True,PrimaryConfidenceMargin >= ConfidenceThreshold AND ModelAgreement == True AND Day3StdViewProbability <= ViewSDThreshold AND PredictedClassReferencePercentile <= FeaturePercentileThreshold,True,True,True,2.2084707824028404,0.42641146551730086,98.360655737704917,False,False,120,68,52,0.56666666666666665,56.666666666666664,0.43333333333333335,43.333333333333336,0,0,0,1,1,1,1,0,59,9,0,0
full_reliability,Confidence + agreement + view SD + feature typicality,4,True,PrimaryConfidenceMargin >= ConfidenceThreshold AND ModelAgreement == True AND Day3StdViewProbability <= ViewSDThreshold AND PredictedClassReferencePercentile <= FeaturePercentileThreshold,True,True,True,0.83179976063869354,0.33322164747457844,98.360655737704917,True,False,120,90,30,0.75,75,0.25,25,1,0.011111111111111112,1.1111111111111112,0.98888888888888893,0.98484848484848486,1,0.99242424242424243,1,65,24,0,1
full_reliability,Confidence + agreement + view SD + feature typicality,4,True,PrimaryConfidenceMargin >= ConfidenceThreshold AND ModelAgreement == True AND Day3StdViewProbability <= ViewSDThreshold AND PredictedClassReferencePercentile <= FeaturePercentileThreshold,True,True,True,0.83179976063869354,0.42641146551730086,98.360655737704917,False,False,120,96,24,0.80000000000000004,80,0.20000000000000001,20,2,0.020833333333333332,2.0833333333333335,0.97916666666666663,0.9859154929577465,0.95999999999999996,0.97295774647887323,1,70,24,1,1
full_reliability,Confidence + agreement + view SD + feature typicality,4,True,PrimaryConfidenceMargin >= ConfidenceThreshold AND ModelAgreement == True AND Day3StdViewProbability <= ViewSDThreshold AND PredictedClassReferencePercentile <= FeaturePercentileThreshold,True,True,True,0.73695406291178678,0.42641146551730086,98.360655737704917,False,False,120,99,21,0.82499999999999996,82.5,0.17499999999999999,17.5,3,0.030303030303030304,3.0303030303030303,0.96969696969696972,0.98630136986301364,0.92307692307692313,0.95468914646996839,1,72,24,2,1
full_reliability,Confidence + agreement + view SD + feature typicality,4,True,PrimaryConfidenceMargin >= ConfidenceThreshold AND ModelAgreement == True AND Day3StdViewProbability <= ViewSDThreshold AND PredictedClassReferencePercentile <= FeaturePercentileThreshold,True,True,True,0.50927913018746063,0.42641146551730086,98.360655737704917,False,False,120,102,18,0.84999999999999998,85,0.14999999999999999,15,4,0.039215686274509803,3.9215686274509802,0.96078431372549022,0.97368421052631582,0.92307692307692313,0.94838056680161942,2,74,24,2,2
full_reliability,Confidence + agreement + view SD + feature typicality,4,True,PrimaryConfidenceMargin >= ConfidenceThreshold AND ModelAgreement == True AND Day3StdViewProbability <= ViewSDThreshold AND PredictedClassReferencePercentile <= FeaturePercentileThreshold,True,True,True,0.24169623520724892,0.42641146551730086,98.360655737704917,False,False,120,107,13,0.89166666666666672,89.166666666666671,0.10833333333333334,10.833333333333334,5,0.046728971962616821,4.6728971962616823,0.95327102803738317,0.96202531645569622,0.9285714285714286,0.94529837251356241,3,76,26,2,3
full_reliability,Confidence + agreement + view SD + feature typicality,4,True,PrimaryConfidenceMargin >= ConfidenceThreshold AND ModelAgreement == True AND Day3StdViewProbability <= ViewSDThreshold AND PredictedClassReferencePercentile <= FeaturePercentileThreshold,True,True,True,0.0021789637962887909,0.42641146551730086,98.360655737704917,False,False,120,112,8,0.93333333333333335,93.333333333333329,0.066666666666666666,6.666666666666667,6,0.053571428571428568,5.3571428571428568,0.9464285714285714,0.95121951219512191,0.93333333333333335,0.94227642276422763,4,78,28,2,4
