StrategyID,Strategy,StrategyComplexity,MatchedBaseStrategyID,AcceptanceRule,RequireModelAgreement,UseViewSD,UseKNN,SelectedK,ConfidenceThreshold,ViewSDThreshold,KNNPercentileThreshold,ViewSDGateActive,KNNGateActive,TotalCount,AcceptedCount,DeferredCount,Coverage,CoveragePercent,ReviewRate,ReviewRatePercent,AcceptedErrors,AcceptedErrorRate,AcceptedAccuracy,AcceptedSensitivity,AcceptedSpecificity,AcceptedBalancedAccuracy,AcceptedTruePositives,AcceptedTrueNegatives,AcceptedFalsePositives,AcceptedFalseNegatives,FalseNegativesAmongAccepted,DataScope,TestStatus,ParetoFrontier
c,C,1,,PrimaryConfidenceMargin >= ConfidenceThreshold,False,False,False,10,4.5688373344367577,,,False,False,120,39,81,0.32500000000000001,32.5,0.67500000000000004,67.5,0,0,1,1,,,39,0,0,0,0,TRAIN + VALIDATION ONLY,TEST SET NOT LOADED OR EVALUATED,False
c,C,1,,PrimaryConfidenceMargin >= ConfidenceThreshold,False,False,False,10,4.5353848331452493,,,False,False,120,40,80,0.33333333333333331,33.333333333333336,0.66666666666666663,66.666666666666671,0,0,1,1,,,40,0,0,0,0,TRAIN + VALIDATION ONLY,TEST SET NOT LOADED OR EVALUATED,False
c,C,1,,PrimaryConfidenceMargin >= ConfidenceThreshold,False,False,False,10,4.4671983915927962,,,False,False,120,41,79,0.34166666666666667,34.166666666666664,0.65833333333333333,65.833333333333329,0,0,1,1,,,41,0,0,0,0,TRAIN + VALIDATION ONLY,TEST SET NOT LOADED OR EVALUATED,False
c,C,1,,PrimaryConfidenceMargin >= ConfidenceThreshold,False,False,False,10,4.3839251773368861,,,False,False,120,42,78,0.34999999999999998,35,0.65000000000000002,65,0,0,1,1,,,42,0,0,0,0,TRAIN + VALIDATION ONLY,TEST SET NOT LOADED OR EVALUATED,False
c,C,1,,PrimaryConfidenceMargin >= ConfidenceThreshold,False,False,False,10,4.308449584088387,,,False,False,120,43,77,0.35833333333333334,35.833333333333336,0.64166666666666672,64.166666666666671,0,0,1,1,,,43,0,0,0,0,TRAIN + VALIDATION ONLY,TEST SET NOT LOADED OR EVALUATED,False
c,C,1,,PrimaryConfidenceMargin >= ConfidenceThreshold,False,False,False,10,4.1826687122337951,,,False,False,120,44,76,0.36666666666666664,36.666666666666664,0.6333333333333333,63.333333333333336,0,0,1,1,,,44,0,0,0,0,TRAIN + VALIDATION ONLY,TEST SET NOT LOADED OR EVALUATED,False
c,C,1,,PrimaryConfidenceMargin >= ConfidenceThreshold,False,False,False,10,4.1365523083628792,,,False,False,120,45,75,0.375,37.5,0.625,62.5,0,0,1,1,,,45,0,0,0,0,TRAIN + VALIDATION ONLY,TEST SET NOT LOADED OR EVALUATED,False
c,C,1,,PrimaryConfidenceMargin >= ConfidenceThreshold,False,False,False,10,4.1253952614901035,,,False,False,120,46,74,0.38333333333333336,38.333333333333336,0.6166666666666667,61.666666666666664,0,0,1,1,,,46,0,0,0,0,TRAIN + VALIDATION ONLY,TEST SET NOT LOADED OR EVALUATED,False
c,C,1,,PrimaryConfidenceMargin >= ConfidenceThreshold,False,False,False,10,4.1130530370013672,,,False,False,120,47,73,0.39166666666666666,39.166666666666664,0.60833333333333328,60.833333333333336,0,0,1,1,,,47,0,0,0,0,TRAIN + VALIDATION ONLY,TEST SET NOT LOADED OR EVALUATED,False
c,C,1,,PrimaryConfidenceMargin >= ConfidenceThreshold,False,False,False,10,4.1114447297278582,,,False,False,120,48,72,0.40000000000000002,40,0.59999999999999998,60,0,0,1,1,,,48,0,0,0,0,TRAIN + VALIDATION ONLY,TEST SET NOT LOADED OR EVALUATED,False
c,C,1,,PrimaryConfidenceMargin >= ConfidenceThreshold,False,False,False,10,4.0262800644953263,,,False,False,120,49,71,0.40833333333333333,40.833333333333336,0.59166666666666667,59.166666666666664,0,0,1,1,,,49,0,0,0,0,TRAIN + VALIDATION ONLY,TEST SET NOT LOADED OR EVALUATED,False
c,C,1,,PrimaryConfidenceMargin >= ConfidenceThreshold,False,False,False,10,3.7534046116307165,,,False,False,120,50,70,0.41666666666666669,41.666666666666664,0.58333333333333337,58.333333333333336,0,0,1,1,,,50,0,0,0,0,TRAIN + VALIDATION ONLY,TEST SET NOT LOADED OR EVALUATED,False
c,C,1,,PrimaryConfidenceMargin >= ConfidenceThreshold,False,False,False,10,3.6997264491816999,,,False,False,120,51,69,0.42499999999999999,42.5,0.57499999999999996,57.5,0,0,1,1,,,51,0,0,0,0,TRAIN + VALIDATION ONLY,TEST SET NOT LOADED OR EVALUATED,False
c,C,1,,PrimaryConfidenceMargin >= ConfidenceThreshold,False,False,False,10,3.51671879185636,,,False,False,120,52,68,0.43333333333333335,43.333333333333336,0.56666666666666665,56.666666666666664,0,0,1,1,,,52,0,0,0,0,TRAIN + VALIDATION ONLY,TEST SET NOT LOADED OR EVALUATED,False
c,C,1,,PrimaryConfidenceMargin >= ConfidenceThreshold,False,False,False,10,3.4830477429825848,,,False,False,120,53,67,0.44166666666666665,44.166666666666664,0.55833333333333335,55.833333333333336,0,0,1,1,,,53,0,0,0,0,TRAIN + VALIDATION ONLY,TEST SET NOT LOADED OR EVALUATED,False
c,C,1,,PrimaryConfidenceMargin >= ConfidenceThreshold,False,False,False,10,3.4334308260245816,,,False,False,120,54,66,0.45000000000000001,45,0.55000000000000004,55,0,0,1,1,,,54,0,0,0,0,TRAIN + VALIDATION ONLY,TEST SET NOT LOADED OR EVALUATED,False
