AcceptedErrorRateBudget,AcceptedErrorPercentBudget,StrategyID,Strategy,HighestAcceptedCountWithinBudget,HighestCoverageWithinBudget,HighestCoveragePercentWithinBudget,ObservedAcceptedErrors,ObservedAcceptedErrorRate,FalseNegativesAmongAccepted,HighestCoverageWinner,HighestCoverageStrategies
0.013698630136986301,1.3698630136986301,confidence_model_agreement,Confidence + model agreement,68,0.56666666666666665,56.666666666666664,0,0,0,False,Confidence + agreement + view SD + feature typicality
0.013698630136986301,1.3698630136986301,confidence_view_sd,Confidence + view SD,89,0.7416666666666667,74.166666666666671,1,0.011235955056179775,1,False,Confidence + agreement + view SD + feature typicality
0.013698630136986301,1.3698630136986301,full_reliability,Confidence + agreement + view SD + feature typicality,90,0.75,75,1,0.011111111111111112,1,True,Confidence + agreement + view SD + feature typicality
0.013888888888888888,1.3888888888888888,confidence_only,Confidence only,69,0.57499999999999996,57.5,0,0,0,False,Confidence + agreement + view SD + feature typicality
0.013888888888888888,1.3888888888888888,confidence_model_agreement,Confidence + model agreement,68,0.56666666666666665,56.666666666666664,0,0,0,False,Confidence + agreement + view SD + feature typicality
0.013888888888888888,1.3888888888888888,confidence_view_sd,Confidence + view SD,89,0.7416666666666667,74.166666666666671,1,0.011235955056179775,1,False,Confidence + agreement + view SD + feature typicality
0.013888888888888888,1.3888888888888888,full_reliability,Confidence + agreement + view SD + feature typicality,90,0.75,75,1,0.011111111111111112,1,True,Confidence + agreement + view SD + feature typicality
0.014084507042253521,1.4084507042253522,confidence_only,Confidence only,69,0.57499999999999996,57.5,0,0,0,False,Confidence + agreement + view SD + feature typicality
0.014084507042253521,1.4084507042253522,confidence_model_agreement,Confidence + model agreement,68,0.56666666666666665,56.666666666666664,0,0,0,False,Confidence + agreement + view SD + feature typicality
0.014084507042253521,1.4084507042253522,confidence_view_sd,Confidence + view SD,89,0.7416666666666667,74.166666666666671,1,0.011235955056179775,1,False,Confidence + agreement + view SD + feature typicality
0.014084507042253521,1.4084507042253522,full_reliability,Confidence + agreement + view SD + feature typicality,90,0.75,75,1,0.011111111111111112,1,True,Confidence + agreement + view SD + feature typicality
0.014285714285714285,1.4285714285714286,confidence_only,Confidence only,70,0.58333333333333337,58.333333333333336,1,0.014285714285714285,0,False,Confidence + agreement + view SD + feature typicality
0.014285714285714285,1.4285714285714286,confidence_model_agreement,Confidence + model agreement,68,0.56666666666666665,56.666666666666664,0,0,0,False,Confidence + agreement + view SD + feature typicality
0.014285714285714285,1.4285714285714286,confidence_view_sd,Confidence + view SD,89,0.7416666666666667,74.166666666666671,1,0.011235955056179775,1,False,Confidence + agreement + view SD + feature typicality
0.014285714285714285,1.4285714285714286,full_reliability,Confidence + agreement + view SD + feature typicality,90,0.75,75,1,0.011111111111111112,1,True,Confidence + agreement + view SD + feature typicality
0.014492753623188406,1.4492753623188406,confidence_only,Confidence only,70,0.58333333333333337,58.333333333333336,1,0.014285714285714285,0,False,Confidence + agreement + view SD + feature typicality
0.014492753623188406,1.4492753623188406,confidence_model_agreement,Confidence + model agreement,69,0.57499999999999996,57.5,1,0.014492753623188406,0,False,Confidence + agreement + view SD + feature typicality
0.014492753623188406,1.4492753623188406,confidence_view_sd,Confidence + view SD,89,0.7416666666666667,74.166666666666671,1,0.011235955056179775,1,False,Confidence + agreement + view SD + feature typicality
0.014492753623188406,1.4492753623188406,full_reliability,Confidence + agreement + view SD + feature typicality,90,0.75,75,1,0.011111111111111112,1,True,Confidence + agreement + view SD + feature typicality
0.020833333333333332,2.083333333333333,confidence_only,Confidence only,70,0.58333333333333337,58.333333333333336,1,0.014285714285714285,0,False,Confidence + model agreement; Confidence + agreement + view SD + feature typicality
0.020833333333333332,2.083333333333333,confidence_model_agreement,Confidence + model agreement,96,0.80000000000000004,80,2,0.020833333333333332,1,True,Confidence + model agreement; Confidence + agreement + view SD + feature typicality
0.020833333333333332,2.083333333333333,confidence_view_sd,Confidence + view SD,89,0.7416666666666667,74.166666666666671,1,0.011235955056179775,1,False,Confidence + model agreement; Confidence + agreement + view SD + feature typicality
0.020833333333333332,2.083333333333333,full_reliability,Confidence + agreement + view SD + feature typicality,96,0.80000000000000004,80,2,0.020833333333333332,1,True,Confidence + model agreement; Confidence + agreement + view SD + feature typicality
0.021052631578947368,2.1052631578947367,confidence_only,Confidence only,70,0.58333333333333337,58.333333333333336,1,0.014285714285714285,0,False,Confidence + model agreement; Confidence + agreement + view SD + feature typicality
0.021052631578947368,2.1052631578947367,confidence_model_agreement,Confidence + model agreement,96,0.80000000000000004,80,2,0.020833333333333332,1,True,Confidence + model agreement; Confidence + agreement + view SD + feature typicality
0.021052631578947368,2.1052631578947367,confidence_view_sd,Confidence + view SD,89,0.7416666666666667,74.166666666666671,1,0.011235955056179775,1,False,Confidence + model agreement; Confidence + agreement + view SD + feature typicality
