Full__AcceptedCount,Full__Coverage,Full__AcceptedErrors,Full__AcceptedErrorRate,Full__FalseNegativesAmongAccepted,Full__AcceptedBalancedAccuracy,Full__FeaturePercentileThreshold,Full__FeatureGateActive,Ablation__AcceptedCount,Ablation__Coverage,Ablation__AcceptedErrors,Ablation__AcceptedErrorRate,Ablation__FalseNegativesAmongAccepted,Ablation__AcceptedBalancedAccuracy,FeatureImprovesAcceptedErrors,FeatureImprovesFalseNegatives,AcceptedErrorDeltaFullMinusAblation,FalseNegativeDeltaFullMinusAblation
86,0.71666666666666667,1,0.011627906976744186,1,0.9921875,98.360655737704917,False,86,0.71666666666666667,1,0.011627906976744186,1,0.9921875,False,False,0,0
87,0.72499999999999998,1,0.011494252873563218,1,0.9921875,98.360655737704917,False,87,0.72499999999999998,1,0.011494252873563218,1,0.9921875,False,False,0,0
88,0.73333333333333328,1,0.011363636363636364,1,0.9921875,98.360655737704917,False,88,0.73333333333333328,1,0.011363636363636364,1,0.9921875,False,False,0,0
89,0.7416666666666667,1,0.011235955056179775,1,0.99230769230769234,98.360655737704917,False,89,0.7416666666666667,1,0.011235955056179775,1,0.99230769230769234,False,False,0,0
90,0.75,1,0.011111111111111112,1,0.99242424242424243,98.360655737704917,False,90,0.75,1,0.011111111111111112,1,0.99242424242424243,False,False,0,0
91,0.7583333333333333,2,0.02197802197802198,1,0.97242424242424241,98.360655737704917,False,91,0.7583333333333333,2,0.02197802197802198,1,0.97242424242424241,False,False,0,0
92,0.76666666666666672,2,0.021739130434782608,1,0.97253731343283578,98.360655737704917,False,92,0.76666666666666672,2,0.021739130434782608,1,0.97253731343283578,False,False,0,0
93,0.77500000000000002,2,0.021505376344086023,1,0.97264705882352942,98.360655737704917,False,93,0.77500000000000002,2,0.021505376344086023,1,0.97264705882352942,False,False,0,0
94,0.78333333333333333,2,0.021276595744680851,1,0.97275362318840575,98.360655737704917,False,94,0.78333333333333333,2,0.021276595744680851,1,0.97275362318840575,False,False,0,0
95,0.79166666666666663,2,0.021052631578947368,1,0.97285714285714286,98.360655737704917,False,95,0.79166666666666663,2,0.021052631578947368,1,0.97285714285714286,False,False,0,0
96,0.80000000000000004,2,0.020833333333333332,1,0.97295774647887323,98.360655737704917,False,96,0.80000000000000004,2,0.020833333333333332,1,0.97295774647887323,False,False,0,0
97,0.80833333333333335,3,0.030927835051546393,1,0.95449620801733481,98.360655737704917,False,97,0.80833333333333335,3,0.030927835051546393,1,0.95449620801733481,False,False,0,0
98,0.81666666666666665,3,0.030612244897959183,1,0.95459401709401714,98.360655737704917,False,98,0.81666666666666665,3,0.030612244897959183,1,0.95459401709401714,False,False,0,0
99,0.82499999999999996,3,0.030303030303030304,1,0.95468914646996839,98.360655737704917,False,99,0.82499999999999996,3,0.030303030303030304,1,0.95468914646996839,False,False,0,0
100,0.83333333333333337,4,0.040000000000000001,2,0.94802494802494808,98.360655737704917,False,100,0.83333333333333337,4,0.040000000000000001,2,0.94802494802494808,False,False,0,0
101,0.84166666666666667,4,0.039603960396039604,2,0.94820512820512826,98.360655737704917,False,101,0.84166666666666667,4,0.039603960396039604,2,0.94820512820512826,False,False,0,0
102,0.84999999999999998,4,0.039215686274509803,2,0.94838056680161942,98.360655737704917,False,102,0.84999999999999998,4,0.039215686274509803,2,0.94838056680161942,False,False,0,0
103,0.85833333333333328,5,0.048543689320388349,3,0.94428571428571428,98.360655737704917,False,103,0.85833333333333328,5,0.048543689320388349,3,0.94428571428571428,False,False,0,0
104,0.8666666666666667,5,0.04807692307692308,3,0.94454887218045114,98.360655737704917,False,104,0.8666666666666667,5,0.04807692307692308,3,0.94454887218045114,False,False,0,0
105,0.875,5,0.047619047619047616,3,0.94480519480519476,98.360655737704917,False,105,0.875,5,0.047619047619047616,3,0.94480519480519476,False,False,0,0
106,0.8833333333333333,5,0.04716981132075472,3,0.94505494505494503,98.360655737704917,False,106,0.8833333333333333,5,0.04716981132075472,3,0.94505494505494503,False,False,0,0
107,0.89166666666666672,5,0.046728971962616821,3,0.94529837251356241,98.360655737704917,False,107,0.89166666666666672,5,0.046728971962616821,3,0.94529837251356241,False,False,0,0
108,0.90000000000000002,6,0.055555555555555552,4,0.94102564102564101,98.360655737704917,False,108,0.90000000000000002,6,0.055555555555555552,4,0.94102564102564101,False,False,0,0
109,0.90833333333333333,6,0.055045871559633031,4,0.94135021097046412,98.360655737704917,False,109,0.90833333333333333,6,0.055045871559633031,4,0.94135021097046412,False,False,0,0
110,0.91666666666666663,6,0.054545454545454543,4,0.94166666666666665,98.360655737704917,False,110,0.91666666666666663,6,0.054545454545454543,4,0.94166666666666665,False,False,0,0
111,0.92500000000000004,6,0.054054054054054057,4,0.94197530864197532,98.360655737704917,False,111,0.92500000000000004,6,0.054054054054054057,4,0.94197530864197532,False,False,0,0
112,0.93333333333333335,6,0.053571428571428568,4,0.94227642276422763,98.360655737704917,False,112,0.93333333333333335,6,0.053571428571428568,4,0.94227642276422763,False,False,0,0
